bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID13,bedroom_ID15,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID28,bedroom_ID29,bedroom_ID31,bedroom_ID32,bedroom_ID34,bedroom_ID36,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID13,living_room_ID15,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID28,living_room_ID29,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID43
15.433,18.965,19.235,22.314,18.828,12.725,18.393,13.48,9.444,15.64,21.596,20.433,19.309,13.543,19.515,19.315,19.341,22.249,16.556,22.556,14.94,19.903,17.94,22.257,19.94,14.439,17.796,17.704,23.062,23.377,20.185,23.111,20.672,14.54,16.9,16.694,17.905,13.05,18.684,21.956,23.585,15.342,19.5,22.847,21.344,21.344,20.401,18.741,21.243,20.094,18.906,11.67,20.215,19.529,18.929,20.243,19.68,18.592,18.467
15.37,18.464,18.984,20.5,19.266,12.474,18.205,13.542,9.507,15.264,21.596,20.558,19.247,13.48,19.453,18.939,19.467,21.499,16.368,21.243,15.378,18.463,17.94,22.257,18.877,15.003,17.922,17.892,20.435,21.313,19.81,21.297,19.483,13.914,16.273,15.817,17.592,13.05,18.558,21.518,21.521,15.342,19.0,22.722,20.53,20.53,19.838,18.115,20.055,19.281,18.281,11.607,19.465,19.529,18.554,19.43,18.929,18.467,17.968
15.495,18.151,18.609,19.624,19.392,12.286,17.767,14.732,9.569,14.951,21.471,20.371,19.121,13.418,19.453,18.689,18.966,20.873,16.243,20.055,16.757,17.336,18.19,21.694,18.125,13.122,17.859,18.079,18.871,20.437,19.435,19.232,18.544,13.6,15.897,15.316,17.53,12.674,18.621,20.204,20.646,15.405,18.688,22.659,20.092,20.092,19.4,17.615,19.179,18.718,17.717,11.607,18.776,19.529,18.554,18.679,18.554,17.968,17.468
15.37,17.963,18.358,18.748,19.392,12.098,17.329,14.231,9.507,14.825,21.033,20.058,18.996,13.418,19.39,20.066,18.716,20.248,16.117,19.179,15.692,16.647,18.691,21.381,17.875,12.494,17.295,17.892,18.183,19.874,19.122,18.231,18.106,13.349,15.647,14.94,17.53,12.486,18.621,19.453,19.957,15.405,18.375,22.597,19.779,19.779,18.963,17.114,18.553,18.28,17.217,11.607,18.213,19.404,18.679,18.116,18.554,17.468,17.094
15.307,17.775,18.108,18.247,19.266,11.91,16.953,14.106,9.507,14.638,20.908,20.12,18.809,13.355,19.327,20.441,18.466,20.435,15.992,18.553,15.065,16.084,19.003,21.006,17.562,11.993,16.857,17.704,17.682,19.436,18.872,17.542,17.793,13.099,15.458,14.689,17.843,12.36,18.746,19.578,19.394,15.405,18.125,22.597,19.466,19.466,18.65,16.739,18.053,17.905,16.779,11.544,17.774,19.341,18.929,17.678,18.679,17.094,16.719
15.057,17.587,18.171,17.809,18.703,12.412,16.64,13.98,9.569,14.575,21.095,20.308,18.621,13.355,19.265,20.191,18.966,23.5,15.804,18.053,14.564,15.645,19.066,20.881,17.061,11.742,16.544,17.579,17.307,19.061,18.684,17.041,17.543,12.911,15.396,14.501,18.093,12.235,18.934,20.767,18.83,15.342,17.937,22.534,21.531,21.531,19.025,16.363,19.679,17.78,16.403,11.607,17.336,19.154,19.305,17.302,18.929,16.719,16.656
14.806,17.837,19.047,17.371,18.327,12.537,16.39,13.918,9.444,14.512,21.158,20.246,18.433,13.292,19.327,19.44,19.404,24.437,17.056,19.679,14.0,15.645,18.878,20.693,20.066,11.491,16.293,17.391,16.931,21.125,20.373,16.603,17.355,15.042,16.085,14.313,18.281,12.11,18.996,21.643,24.023,15.342,20.626,22.534,21.531,21.531,19.338,16.05,20.743,19.656,16.966,11.544,17.9,19.028,20.431,17.99,19.305,16.656,17.406
14.681,17.963,19.298,23.001,18.014,12.161,16.828,13.793,9.444,16.391,21.471,20.246,18.621,13.292,19.39,20.441,18.716,24.75,16.806,20.743,14.0,18.4,18.753,23.07,19.252,16.069,16.544,17.329,20.498,21.188,21.061,16.29,17.168,13.851,17.526,14.125,18.343,13.551,19.059,23.081,20.27,15.28,19.626,22.284,20.906,20.906,19.525,19.304,20.805,18.968,17.655,11.607,18.213,19.028,19.93,18.992,20.431,17.406,17.406
14.242,17.9,18.797,23.627,17.701,11.973,17.329,13.667,9.319,15.139,21.909,20.371,18.746,13.292,19.39,20.566,18.278,24.875,16.618,20.805,14.814,17.524,18.566,23.007,19.44,16.319,17.671,17.579,23.375,21.438,20.436,21.047,18.795,13.287,17.276,17.32,18.093,13.175,20.373,23.331,18.956,15.28,21.439,22.284,20.092,20.092,19.713,18.428,18.929,18.28,17.968,11.67,17.837,19.091,19.805,19.492,19.93,17.406,17.094
15.119,17.9,18.421,23.439,17.513,11.91,18.643,13.605,9.632,14.7,22.096,20.433,18.558,13.355,19.39,19.753,17.965,24.937,16.43,18.929,15.566,16.585,18.44,22.82,19.565,15.63,17.17,17.516,22.187,22.001,19.873,21.797,18.982,13.036,16.712,18.572,17.905,12.924,20.373,22.894,18.517,15.217,20.814,22.284,21.782,21.782,19.776,17.928,21.368,18.217,18.218,11.795,17.461,19.216,19.743,19.93,19.805,17.094,16.969
